Time,State,Temperature,Humidity
1,Before,36.67,57.40666667
2,Before,36.67,57.12666667
3,Before,36.69666667,56.77666667
4,Before,36.73,56.46
5,Before,36.77333333,56.20666667
6,Before,36.81666667,56.24666667
7,Before,36.91,58.04666667
8,Before,36.94666667,58.54333333
9,Before,36.95666667,58.20666667
10,Before,36.98666667,58.31666667
11,Before,36.99333333,58.58333333
12,Before,36.98,58.29333333
13,Before,36.95666667,58.47
14,Before,36.89333333,58.21666667
15,Before,36.84666667,58.52
16,Before,36.77,58.24333333
17,Before,36.71333333,58.69
18,Before,36.61666667,58.84666667
19,Before,36.53,59.03333333
20,Before,36.4,58.7
21,Before,36.26333333,57.54666667
22,After,36.78,56.92666667
23,After,36.78666667,56.63666667
24,After,36.80333333,56.29333333
25,After,36.84333333,55.97666667
26,After,36.88,55.72333333
27,After,36.92666667,55.76666667
28,After,37.01666667,57.55
29,After,37.06333333,58.07
30,After,37.06333333,57.71
31,After,37.1,57.84333333
32,After,37.11,58.11
33,After,37.08666667,57.82
34,After,37.07333333,57.97666667
35,After,37.00666667,57.73333333
36,After,36.96333333,58.01333333
37,After,36.87666667,57.73333333
38,After,36.82333333,58.19666667
39,After,36.73,58.33
40,After,36.65,58.53333333
41,After,36.51666667,58.20333333
42,After,36.38333333,57.05333333
