Time,State,Temperature,Humidity
1,Before,35.44333333,61.13333333
2,Before,35.43,60.45333333
3,Before,35.43,59.98333333
4,Before,35.42,60.25333333
5,Before,35.43666667,62.22666667
6,Before,35.45,65.09333333
7,Before,35.45,65.38333333
8,Before,35.46333333,66.31666667
9,Before,35.48,66.25
10,Before,35.49333333,66.72666667
11,Before,35.49333333,66.98
12,Before,35.48666667,67.22
13,Before,35.5,67.67333333
14,Before,35.5,67.74333333
15,Before,35.52,67.97
16,Before,35.50666667,68.06666667
17,Before,35.48666667,68.31333333
18,Before,35.49666667,68.31666667
19,Before,35.51,68.25
20,Before,35.49666667,68.58666667
21,Before,35.5,68.38666667
22,After,35.40333333,60.39666667
23,After,35.40333333,59.67
24,After,35.39666667,59.21666667
25,After,35.39666667,60.27666667
26,After,35.40333333,63.75666667
27,After,35.41333333,66.46
28,After,35.40333333,66.07333333
29,After,35.41333333,67.19
30,After,35.41666667,67.13
31,After,35.40666667,67.44666667
32,After,35.41,68.18
33,After,35.40666667,67.78
34,After,35.40666667,68.58666667
35,After,35.40333333,68.79666667
36,After,35.40333333,68.83666667
37,After,35.39666667,69.19666667
38,After,35.39666667,68.89666667
39,After,35.4,69.34666667
40,After,35.39,68.86666667
41,After,35.39,69.54
42,After,35.38666667,68.90666667
