Time,State,Temperature,Humidity
1,Before,35.71333333,64.28333333
2,Before,35.78,64.2
3,Before,35.8,63.44
4,Before,35.81,62.61333333
5,Before,35.82,61.84
6,Before,35.83,61.04
7,Before,35.84333333,60.27
8,Before,35.87,59.48666667
9,Before,35.87,58.78666667
10,Before,35.88333333,58.09
11,Before,35.89666667,57.39
12,Before,35.92,56.75333333
13,Before,35.92666667,56.1
14,Before,35.94333333,55.51
15,Before,35.96666667,54.89333333
16,Before,35.97333333,54.35666667
17,Before,35.98666667,53.79333333
18,Before,36,53.27
19,Before,36.01,52.75
20,Before,36.02666667,52.23333333
21,Before,36.09666667,51.73
22,After,35.78,63.99
23,After,35.85333333,63.91
24,After,35.87,63.16
25,After,35.88,62.30333333
26,After,35.9,61.51333333
27,After,35.91666667,60.72333333
28,After,35.92666667,59.94666667
29,After,35.94,59.18
30,After,35.95666667,58.47666667
31,After,35.97,57.79666667
32,After,35.99333333,57.09333333
33,After,36.00333333,56.43
34,After,36.02,55.79
35,After,36.02666667,55.20666667
36,After,36.05333333,54.60666667
37,After,36.05666667,54.04333333
38,After,36.07333333,53.5
39,After,36.08666667,52.94333333
40,After,36.1,52.43
41,After,36.11333333,51.93
42,After,36.16666667,51.44
