Time,State,Humidity,Temperature
1,Before,66.81,40.90333333
2,Before,66.7,40.91333333
3,Before,66.57666667,40.91666667
4,Before,66.38,40.92
5,Before,66.15333333,40.91333333
6,Before,65.88666667,40.91
7,Before,65.53333333,40.91666667
8,Before,65.15666667,40.91
9,Before,64.73,40.89666667
10,Before,64.26666667,40.88666667
11,Before,63.80666667,40.87
12,Before,63.23,40.86333333
13,Before,62.68,40.84333333
14,Before,62.36,40.82333333
15,Before,62.42333333,40.82666667
16,Before,63.32666667,40.82666667
17,Before,64.43,40.84666667
18,Before,64.94666667,40.86666667
19,Before,65.68,40.87333333
20,Before,66.12,40.89
21,Before,66.44,40.9
22,After,66.91,40.74
23,After,66.87666667,40.73333333
24,After,66.79666667,40.73
25,After,66.66,40.72666667
26,After,66.52,40.73666667
27,After,66.28,40.74
28,After,66.03,40.73333333
29,After,65.72,40.73
30,After,65.41666667,40.71333333
31,After,65.01333333,40.71
32,After,64.61333333,40.69666667
33,After,64.22333333,40.67333333
34,After,63.69,40.65666667
35,After,63.21,40.65666667
36,After,63.07666667,40.64
37,After,63.39333333,40.64666667
38,After,64.13666667,40.64333333
39,After,64.70666667,40.67
40,After,65.28666667,40.69
41,After,65.79,40.70666667
42,After,66.22666667,40.71333333
