Time,State,Humidity,Temperature
1,Before,70.88,36.85333333
2,Before,70.73,36.84666667
3,Before,71.57,36.90666667
4,Before,71.14,36.93333333
5,Before,71.78,37.02
6,Before,71.2467,37.06666667
7,Before,71.6867,37.15666667
8,Before,71.28,37.21333333
9,Before,71.35,37.28666667
10,Before,71.64,37.36
11,Before,71.87,37.45333333
12,Before,72.01,37.52
13,Before,72.02,37.58333333
14,Before,71.97,37.64
15,Before,71.8467,37.66
16,Before,71.74,37.67333333
17,Before,71.5767,37.64333333
18,Before,71.42,37.59666667
19,Before,71.2333,37.51333333
20,Before,70.99,37.42333333
21,Before,70.7267,37.32
22,After,69.52,37.13666667
23,After,69.4133,37.11333333
24,After,70.3533,37.12666667
25,After,70.0267,37.14
26,After,70.7533,37.2
27,After,70.29,37.22
28,After,70.7967,37.29333333
29,After,70.46,37.34666667
30,After,70.57,37.39666667
31,After,70.9033,37.47666667
32,After,71.17,37.54333333
33,After,71.3133,37.61
34,After,71.3733,37.67333333
35,After,71.3333,37.72333333
36,After,71.2167,37.74333333
37,After,71.0767,37.75666667
38,After,70.9267,37.74
39,After,70.7267,37.69666667
40,After,70.4933,37.63333333
41,After,70.21,37.55333333
42,After,69.9233,37.45666667
