Time,State,Humidity,Temperature
1,Before,40.67333333,35.81666667
2,Before,40.63666667,35.80333333
3,Before,40.72,35.8
4,Before,40.83333333,35.80333333
5,Before,40.93,35.81333333
6,Before,40.95333333,35.82333333
7,Before,40.98666667,35.81666667
8,Before,40.91666667,35.81333333
9,Before,40.89,35.81333333
10,Before,40.95,35.81666667
11,Before,41.07,35.83
12,Before,41.11333333,35.82
13,Before,41.14666667,35.83
14,Before,41.10333333,35.83666667
15,Before,41.03333333,35.83
16,Before,41.03333333,35.84
17,Before,41.14,35.84666667
18,Before,41.18666667,35.85333333
19,Before,41.23333333,35.86333333
20,Before,41.15333333,35.86
21,Before,40.88333333,35.84
22,After,40.32333333,35.91333333
23,After,40.28666667,35.90333333
24,After,40.35666667,35.9
25,After,40.49666667,35.88666667
26,After,40.57666667,35.89
27,After,40.63666667,35.89333333
28,After,40.64666667,35.89
29,After,40.62,35.88
30,After,40.57666667,35.88666667
31,After,40.63333333,35.89
32,After,40.77333333,35.88333333
33,After,40.82666667,35.88666667
34,After,40.84333333,35.88666667
35,After,40.84333333,35.89
36,After,40.76,35.88666667
37,After,40.77666667,35.90333333
38,After,40.84666667,35.9
39,After,40.91666667,35.90666667
40,After,40.92666667,35.90666667
41,After,40.86666667,35.91333333
42,After,40.59666667,35.89666667
