Time,State,Temperature,Humidity
1,Before,40.03666667,69.44333333
2,Before,40.04333333,68.72333333
3,Before,40.03333333,67.93666667
4,Before,40.03666667,67.22333333
5,Before,40.04,66.68
6,Before,40.06,66.45666667
7,Before,40.08666667,66.28666667
8,Before,40.07333333,65.69666667
9,Before,40.06666667,64.93
10,Before,40.07,64.20333333
11,Before,40.06,63.55333333
12,Before,40.06666667,63.10333333
13,Before,40.10333333,63.32333333
14,Before,40.18,65.21666667
15,Before,40.20666667,66.07333333
16,Before,40.25,67.16666667
17,Before,40.25666667,67.29
18,Before,40.29666667,67.92
19,Before,40.33333333,68.44
20,Before,40.38666667,69.81333333
21,Before,40.42666667,70.99666667
22,Before,40.48333333,72.07666667
23,Before,40.53,72.97666667
24,Before,40.52666667,72.45333333
25,Before,40.56,72.59666667
26,Before,40.60333333,73.32
27,Before,40.61666667,73.16
28,Before,40.64333333,73.38333333
29,Before,40.66333333,73.13
30,Before,40.69666667,73.30666667
31,Before,40.70666667,73.06666667
32,Before,40.72666667,73.11333333
33,Before,40.77,73.43
34,Before,40.81,73.68
35,Before,40.84,73.88
36,Before,40.87333333,73.94
37,Before,40.88333333,73.69333333
38,Before,40.88333333,73.13
39,Before,40.91666667,73.06666667
40,Before,40.94,73.00333333
41,Before,40.94666667,72.83333333
42,Before,40.97666667,72.61333333
43,Before,40.99333333,72.30666667
44,Before,41.00666667,71.9
45,Before,41.01333333,71.49333333
46,Before,41.02333333,71
47,Before,41.02,70.45
48,Before,41.03666667,69.87666667
49,Before,41.04666667,69.2
50,Before,41.03,68.54666667
51,Before,41.03666667,67.89
52,Before,41.04666667,67.46333333
53,Before,41.05666667,67.05333333
54,Before,41.06,66.36666667
55,Before,41.02666667,65.54
56,Before,41.01333333,64.71666667
57,Before,41.00666667,63.89333333
58,Before,41,63.23333333
59,Before,41.00666667,62.76666667
60,Before,41.03,62.95
61,Before,41.08666667,64.34333333
62,Before,41.14,65.70666667
63,Before,41.17333333,67.01333333
64,Before,41.18,67.17
65,Before,41.21666667,67.89
66,Before,41.21333333,67.8
67,Before,41.22333333,67.79
68,Before,41.24,68.07
69,Before,41.21,67.88
70,Before,41.18333333,67.80333333
71,Before,41.16333333,68.17
72,Before,41.11666667,68.13
73,Before,41.03666667,68.03666667
74,Before,40.96666667,68.21
75,Before,40.86666667,68
76,Before,40.79333333,67.95333333
77,Before,40.71666667,68.12666667
78,Before,40.64333333,68.32666667
79,Before,40.55333333,68.13
80,Before,40.48333333,68.4
81,Before,40.42333333,68.44
82,Before,40.35666667,68.18666667
83,Before,40.30333333,68.24
84,Before,40.23666667,67.95
85,Before,40.19,67.95333333
86,Before,40.14333333,67.91666667
87,Before,40.09666667,67.92
88,Before,40.05666667,68.07
89,Before,40,67.83
90,Before,39.97333333,68.06
91,Before,39.93666667,68.15666667
92,Before,39.89,67.92333333
93,Before,39.88333333,68.11666667
94,Before,39.87666667,68.27666667
95,Before,39.87,68.35666667
96,Before,39.86,68.38666667
